,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
0,James Harden,29.1,8.1,11.2,1.5,0.5,5.7,0.44,0.347,27.0,PG,81.0,9.0,8.7,8.0,0.245,"34,767,531"
1,Isaiah Thomas,28.9,2.7,5.9,0.9,0.2,2.8,0.463,0.379,27.0,PG,76.0,7.0,6.7,5.6,0.234,"8,629,141"
2,Anthony Davis,28.0,11.8,2.1,1.3,2.2,2.4,0.505,0.299,23.0,C,75.0,6.0,5.9,5.4,0.195,"28,972,942"
3,DeMar DeRozan,27.3,5.2,3.9,1.1,0.2,2.4,0.467,0.266,27.0,SG,74.0,9.0,3.0,3.3,0.166,"34,767,531"
4,DeMarcus Cousins,27.0,11.0,4.6,1.4,1.3,3.7,0.452,0.361,26.0,C,72.0,8.0,6.8,5.5,0.149,"20,640,933"
5,Damian Lillard,27.0,4.9,5.9,0.9,0.3,2.6,0.444,0.37,26.0,PG,75.0,6.0,5.0,4.8,0.185,"31,870,236"
6,LeBron James,26.4,8.6,8.7,1.2,0.6,4.1,0.548,0.363,32.0,SF,74.0,15.0,7.6,6.7,0.221,"40,562,119"
7,Kawhi Leonard,25.5,5.8,3.5,1.8,0.7,2.1,0.485,0.38,25.0,SF,74.0,7.0,9.4,7.1,0.264,"23,105,862"
8,Stephen Curry,25.3,4.5,6.6,1.8,0.2,3.0,0.468,0.411,28.0,PG,79.0,9.0,6.9,5.9,0.229,"15,867,190"
9,Kyrie Irving,25.2,3.2,5.8,1.2,0.3,2.5,0.473,0.401,24.0,PG,72.0,7.0,3.4,3.4,0.17,"23,105,862"
10,Kevin Durant,25.1,8.3,4.8,1.1,1.6,2.2,0.537,0.375,28.0,PF,62.0,11.0,8.9,5.7,0.278,"34,767,531"
11,Jimmy Butler,23.9,6.2,5.5,1.9,0.4,2.1,0.455,0.367,27.0,SF,75.0,7.0,7.3,6.6,0.236,"22,993,393"
12,Paul George,23.7,6.6,3.3,1.6,0.4,2.9,0.461,0.393,26.0,SF,75.0,8.0,3.1,3.4,0.126,"23,711,000"
13,Andrew Wiggins,23.6,4.0,2.3,1.0,0.4,2.3,0.452,0.356,21.0,SF,82.0,4.0,-1.7,0.2,0.066,"7,868,646"
14,Kemba Walker,23.2,3.9,5.5,1.1,0.3,2.1,0.444,0.399,26.0,PG,79.0,7.0,4.1,4.2,0.142,"15,720,000"
15,Bradley Beal,23.1,3.1,3.5,1.1,0.3,2.0,0.482,0.404,23.0,SG,77.0,6.0,3.3,3.5,0.152,"28,972,942"
16,John Wall,23.1,4.2,10.7,2.0,0.6,4.1,0.451,0.327,26.0,PG,78.0,8.0,4.7,4.8,0.149,"20,640,933"
17,CJ McCollum,23.0,3.6,3.6,0.9,0.5,2.2,0.48,0.421,25.0,SG,80.0,5.0,2.0,2.8,0.131,"4,217,648"
18,Giannis Antetokounmpo,22.9,8.8,5.4,1.6,1.9,2.9,0.521,0.272,22.0,SF,80.0,5.0,7.3,6.7,0.21,"3,924,000"
19,Carmelo Anthony,22.4,5.9,2.9,0.8,0.5,2.1,0.433,0.359,32.0,SF,74.0,15.0,0.7,1.7,0.089,"32,172,787"
20,Kyle Lowry,22.4,4.8,7.0,1.5,0.3,2.9,0.464,0.412,30.0,PG,60.0,12.0,6.1,4.6,0.216,"15,720,000"
21,Klay Thompson,22.3,3.7,2.1,0.8,0.5,1.6,0.468,0.414,26.0,SG,78.0,7.0,0.8,1.9,0.129,"21,829,283"
22,Devin Booker,22.1,3.2,3.4,0.9,0.3,3.1,0.423,0.363,20.0,SG,78.0,3.0,-1.9,0.1,0.035,"2,912,916"
23,Gordon Hayward,21.9,5.4,3.5,1.0,0.3,1.9,0.471,0.398,26.0,SF,73.0,8.0,5.0,4.5,0.199,"21,055,813"
24,Blake Griffin,21.6,8.1,4.9,0.9,0.4,2.3,0.493,0.336,27.0,PF,61.0,8.0,4.7,3.5,0.179,"26,321,913"
25,Eric Bledsoe,21.1,4.8,6.3,1.4,0.5,3.4,0.434,0.335,27.0,PG,66.0,8.0,3.6,3.1,0.118,"18,340,000"
26,Mike Conley,20.5,3.5,6.3,1.3,0.3,2.3,0.46,0.408,29.0,PG,68.0,11.0,6.8,5.1,0.209,"34,767,531"
27,Brook Lopez,20.5,5.4,2.3,0.5,1.7,2.5,0.474,0.346,28.0,C,75.0,10.0,2.3,2.4,0.105,"27,727,034"
28,Goran Dragić,20.3,3.8,5.8,1.2,0.2,2.9,0.475,0.405,30.0,PG,73.0,10.0,2.6,2.9,0.147,"20,818,159"
29,Joel Embiid,20.2,7.8,2.1,0.9,2.5,3.8,0.466,0.367,22.0,C,31.0,2.0,4.5,1.3,0.117,"6,322,269"
30,Jabari Parker,20.1,6.2,2.8,1.0,0.4,1.8,0.49,0.365,21.0,PF,50.0,4.0,0.7,1.2,0.112,"7,040,359"
31,Marc Gasol,19.5,6.3,4.6,0.9,1.3,2.2,0.459,0.388,32.0,C,74.0,10.0,5.2,4.6,0.145,"27,727,034"
32,Harrison Barnes,19.2,5.0,1.5,0.8,0.2,1.3,0.468,0.351,24.0,PF,79.0,6.0,-0.8,0.8,0.078,"28,972,942"
33,Kevin Love,19.0,11.1,1.9,0.9,0.4,2.0,0.427,0.373,28.0,PF,60.0,10.0,2.1,1.9,0.163,"27,727,034"
34,Zach LaVine,18.9,3.4,3.0,0.9,0.2,1.8,0.459,0.387,21.0,SG,47.0,4.0,0.1,0.9,0.082,"2,935,552"
35,Rudy Gay,18.7,6.3,2.8,1.5,0.9,2.5,0.455,0.372,30.0,SF,30.0,12.0,1.9,1.0,0.087,"17,466,666"
36,Dwyane Wade,18.3,4.5,3.8,1.4,0.7,2.3,0.434,0.31,35.0,SG,59.0,15.0,2.5,2.1,0.09,"30,392,000"
37,Danilo Gallinari,18.2,5.2,2.1,0.6,0.2,1.3,0.447,0.389,28.0,SF,63.0,10.0,1.4,1.9,0.154,"19,715,500"
38,Paul Millsap,18.1,7.7,3.7,1.3,0.9,2.3,0.442,0.311,31.0,PF,67.0,12.0,2.1,2.4,0.132,"26,294,363"
39,Chris Paul,18.1,5.0,9.2,2.0,0.1,2.4,0.476,0.411,31.0,PG,61.0,13.0,8.7,5.2,0.264,"29,958,163"
40,Derrick Rose,18.0,3.8,4.4,0.7,0.3,2.3,0.471,0.217,28.0,PG,64.0,10.0,-1.0,0.5,0.068,"27,933,460"
41,Dennis Schröder,17.9,3.1,6.3,0.9,0.2,3.3,0.451,0.34,23.0,PG,78.0,5.0,0.0,1.3,0.071,"3,548,242"
42,Lou Williams,17.5,2.5,3.0,1.0,0.2,2.0,0.429,0.365,30.0,SG,1.0,13.0,3.9,3.0,0.148,"9,170,000"
43,Evan Fournier,17.2,3.1,3.0,1.0,0.1,2.1,0.439,0.356,24.0,SG,66.0,6.0,-1.3,0.4,0.059,"22,270,000"
44,Hassan Whiteside,17.0,14.1,0.7,0.7,2.1,2.0,0.557,,27.0,C,77.0,8.0,1.5,2.2,0.181,"28,972,942"
45,George Hill,16.9,3.4,4.2,1.0,0.2,1.7,0.477,0.403,30.0,PG,49.0,10.0,3.8,2.3,0.182,"10,480,000"
46,Nikola Jokić,16.7,9.8,4.9,0.8,0.8,2.3,0.578,0.324,21.0,C,59.0,3.0,7.3,4.8,0.228,"1,779,635"
47,Avery Bradley,16.3,6.1,2.2,1.2,0.2,1.6,0.463,0.39,26.0,SG,55.0,8.0,-0.6,0.7,0.081,"10,833,258"
48,Eric Gordon,16.2,2.7,2.5,0.6,0.5,1.6,0.406,0.372,28.0,SG,15.0,10.0,-0.1,1.1,0.079,"16,225,221"
49,Tobias Harris,16.1,5.1,1.7,0.7,0.5,1.2,0.481,0.347,24.0,PF,48.0,7.0,1.6,2.3,0.128,"22,532,000"
50,Victor Oladipo,15.9,4.3,2.6,1.2,0.3,1.8,0.442,0.361,24.0,SG,67.0,5.0,-0.5,0.8,0.085,"8,584,377"
51,Dion Waiters,15.8,3.3,4.3,0.9,0.4,2.2,0.424,0.395,25.0,SG,43.0,6.0,-0.1,0.7,0.057,"3,796,380"
52,Wilson Chandler,15.7,6.5,2.0,0.7,0.4,1.6,0.461,0.337,29.0,SF,33.0,11.0,-1.0,0.5,0.077,"14,715,421"
53,D'Angelo Russell,15.6,3.5,4.8,1.4,0.3,2.8,0.405,0.352,20.0,PG,60.0,3.0,-0.8,0.6,0.033,"6,985,968"
54,Jrue Holiday,15.4,3.9,7.3,1.5,0.7,2.9,0.454,0.356,26.0,PG,61.0,9.0,1.3,1.8,0.084,"14,410,000"
55,Jeff Teague,15.3,4.0,7.8,1.2,0.4,2.6,0.442,0.357,28.0,PG,82.0,9.0,2.2,2.8,0.146,"10,480,000"
56,Nicolas Batum,15.1,6.2,5.9,1.1,0.4,2.5,0.403,0.333,28.0,SG,77.0,10.0,0.8,1.9,0.084,"27,339,131"
57,JJ Redick,15.0,2.2,1.4,0.7,0.2,1.3,0.445,0.429,32.0,SG,78.0,12.0,0.4,1.4,0.105,"9,664,525"
58,Gary Harris,14.9,3.1,2.9,1.2,0.1,1.3,0.502,0.42,22.0,SG,56.0,4.0,0.7,1.2,0.124,"2,169,202"
59,Serge Ibaka,14.8,6.8,0.9,0.5,1.6,1.3,0.48,0.391,27.0,PF,79.0,9.0,0.1,1.2,0.101,"16,047,500"
60,Jordan Clarkson,14.7,3.0,2.6,1.1,0.1,2.0,0.445,0.329,24.0,SG,19.0,4.0,-2.5,-0.3,0.024,"16,375,000"
61,Khris Middleton,14.7,4.2,3.4,1.4,0.2,2.2,0.45,0.433,25.0,SF,23.0,6.0,-0.3,0.4,0.085,"19,912,000"
62,Nikola Vučević,14.6,10.4,2.8,1.0,1.0,1.6,0.468,0.307,26.0,C,55.0,7.0,1.4,1.9,0.088,"15,392,500"
63,Tim Hardaway Jr.,14.5,2.8,2.3,0.7,0.2,1.3,0.455,0.357,24.0,SG,30.0,5.0,0.5,1.4,0.107,"2,988,902"
64,Reggie Jackson,14.5,2.2,5.2,0.7,0.1,2.2,0.419,0.359,26.0,PG,50.0,7.0,-1.0,0.4,0.065,"19,593,043"
65,Jeremy Lin,14.5,3.8,5.1,1.2,0.4,2.4,0.438,0.372,28.0,PG,33.0,8.0,2.0,0.9,0.116,"15,043,062"
66,Myles Turner,14.5,7.3,1.3,0.9,2.1,1.3,0.511,0.348,20.0,C,81.0,3.0,1.1,2.0,0.151,"3,118,376"
67,T.J. Warren,14.4,5.1,1.1,1.2,0.6,0.9,0.495,0.265,23.0,SF,59.0,4.0,-0.6,0.7,0.096,"2,788,885"
68,Dirk Nowitzki,14.2,6.5,1.5,0.6,0.7,0.9,0.437,0.378,38.0,PF,54.0,20.0,0.8,1.0,0.084,"32,750,000"
69,Jordan Crawford,14.1,1.8,3.0,0.6,0.1,1.3,0.482,0.389,28.0,SG,0.0,8.0,1.3,0.4,0.102,"307,745"
