,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
0,Stephen Curry,30.1,5.4,6.7,2.1,0.2,3.3,0.504,0.454,27.0,PG,79.0,8.0,11.9,9.5,0.318,"15,236,853"
1,James Harden,29.0,6.1,7.5,1.7,0.6,4.6,0.439,0.359,26.0,SG,82.0,8.0,6.6,6.8,0.204,"21,063,543"
2,Kevin Durant,28.2,8.2,5.0,1.0,1.2,3.5,0.505,0.387,27.0,SF,72.0,10.0,9.9,7.8,0.27,"29,442,279"
3,DeMarcus Cousins,26.9,11.5,3.3,1.6,1.4,3.8,0.451,0.333,25.0,C,65.0,7.0,3.3,3.0,0.122,"19,736,650"
4,LeBron James,25.3,7.4,6.8,1.4,0.6,3.3,0.52,0.309,31.0,SF,76.0,14.0,9.0,7.5,0.242,"30,780,470"
5,Damian Lillard,25.1,4.0,6.8,0.9,0.4,3.2,0.419,0.375,25.0,PG,75.0,5.0,4.4,4.3,0.165,"5,676,623"
6,Anthony Davis,24.3,10.3,1.9,1.3,2.0,2.0,0.493,0.324,22.0,C,61.0,5.0,3.9,3.2,0.16,"9,474,778"
7,DeMar DeRozan,23.5,4.5,4.0,1.0,0.3,2.2,0.446,0.338,26.0,SG,78.0,8.0,2.5,3.2,0.169,"12,730,000"
8,Paul George,23.1,7.0,4.1,1.9,0.4,3.3,0.418,0.371,25.0,SF,81.0,7.0,4.9,4.9,0.157,"22,646,000"
9,Isaiah Thomas,22.2,3.0,6.2,1.1,0.1,2.7,0.428,0.359,26.0,PG,79.0,6.0,4.3,4.2,0.177,"9,263,244"
10,Klay Thompson,22.1,3.8,2.1,0.8,0.6,1.7,0.47,0.425,25.0,SG,80.0,6.0,1.8,2.5,0.144,"20,771,340"
11,Carmelo Anthony,21.8,7.7,4.2,0.9,0.5,2.4,0.434,0.339,31.0,SF,72.0,14.0,3.3,3.4,0.121,"30,652,500"
12,Blake Griffin,21.4,8.4,4.9,0.8,0.5,2.4,0.499,0.333,26.0,PF,35.0,7.0,4.5,1.9,0.156,"25,276,253"
13,Kawhi Leonard,21.2,6.8,2.6,1.8,1.0,1.5,0.506,0.443,24.0,SF,72.0,6.0,9.1,6.7,0.277,"21,986,050"
14,Kyle Lowry,21.2,4.7,6.4,2.1,0.4,2.9,0.427,0.388,29.0,PG,77.0,11.0,5.8,5.7,0.196,"16,080,000"
15,Jimmy Butler,20.9,5.3,4.8,1.6,0.6,2.0,0.454,0.312,26.0,SG,67.0,6.0,4.4,3.9,0.177,"21,986,050"
16,Kemba Walker,20.9,4.4,5.2,1.6,0.5,2.1,0.427,0.371,25.0,PG,81.0,6.0,4.0,4.3,0.164,"16,080,000"
