,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
0,James Harden,34.3,6.6,7.5,1.8,0.9,4.5,0.444,0.355,30.0,SG,68.0,12.0,9.6,7.3,0.254,"47,366,760"
1,Bradley Beal,30.5,4.2,6.1,1.2,0.4,3.4,0.455,0.353,26.0,SG,57.0,9.0,2.9,2.5,0.118,"33,595,342"
2,Damian Lillard,30.0,4.3,8.0,1.1,0.3,2.9,0.463,0.401,29.0,PG,66.0,9.0,7.5,5.9,0.225,"36,954,878"
3,Trae Young,29.6,4.3,9.3,1.1,0.1,4.8,0.437,0.361,21.0,PG,60.0,3.0,3.9,3.1,0.133,"7,778,520"
4,Giannis Antetokounmpo,29.5,13.6,5.6,1.0,1.0,3.7,0.553,0.304,25.0,PF,63.0,8.0,11.5,6.6,0.279,"32,044,944"
5,Luka Dončić,28.8,9.4,8.8,1.0,0.2,4.3,0.463,0.316,20.0,PG,61.0,3.0,8.4,5.4,0.207,"9,527,366"
6,Kyrie Irving,27.4,5.2,6.4,1.4,0.5,2.6,0.478,0.394,27.0,PG,20.0,10.0,7.7,1.6,0.21,"39,360,080"
7,Kawhi Leonard,27.1,7.1,4.9,1.8,0.6,2.6,0.47,0.378,28.0,SF,57.0,10.0,8.9,5.1,0.226,"40,600,080"
8,Devin Booker,26.6,4.2,6.5,0.7,0.3,3.8,0.489,0.354,23.0,SG,70.0,6.0,2.2,2.6,0.143,"33,833,400"
9,Anthony Davis,26.1,9.3,3.2,1.5,2.3,2.5,0.503,0.33,26.0,PF,62.0,9.0,8.0,5.4,0.25,"33,595,343"
10,Zach LaVine,25.5,4.8,4.2,1.5,0.5,3.4,0.45,0.38,24.0,SF,60.0,7.0,2.5,2.4,0.091,"24,180,000"
11,LeBron James,25.3,7.8,10.2,1.2,0.5,3.9,0.493,0.348,35.0,PG,67.0,18.0,8.4,6.1,0.204,"46,421,703"
12,Donovan Mitchell,24.0,4.4,4.3,1.0,0.2,2.7,0.449,0.366,23.0,SG,69.0,4.0,1.9,2.3,0.11,"4,508,342"
13,Brandon Ingram,23.8,6.1,4.2,1.0,0.6,3.0,0.463,0.391,22.0,PF,62.0,5.0,2.1,2.2,0.115,"9,009,201"
14,Jayson Tatum,23.4,7.0,3.0,1.4,0.9,2.3,0.45,0.403,21.0,PF,66.0,4.0,4.0,3.4,0.146,"9,709,200"
15,D'Angelo Russell,23.1,3.9,6.3,1.1,0.3,3.3,0.426,0.367,23.0,PG,45.0,6.0,1.9,1.4,0.06,"33,833,400"
16,Joel Embiid,23.0,11.6,3.0,0.9,1.3,3.1,0.477,0.331,25.0,C,51.0,5.0,4.7,2.5,0.192,"34,105,741"
17,Pascal Siakam,22.9,7.3,3.5,1.0,0.9,2.5,0.453,0.359,25.0,PF,60.0,5.0,1.8,2.0,0.123,"2,916,279"
18,Zion Williamson,22.5,6.3,2.1,0.7,0.4,2.5,0.583,0.429,19.0,PF,24.0,2.0,2.1,0.7,0.141,"12,099,225"
19,CJ McCollum,22.2,4.2,4.4,0.8,0.6,1.8,0.451,0.379,28.0,SG,70.0,8.0,0.5,1.6,0.077,"34,170,629"
20,DeMar DeRozan,22.1,5.5,5.6,1.0,0.3,2.4,0.531,0.257,30.0,SF,68.0,12.0,1.9,2.3,0.151,"34,397,569"
21,Andrew Wiggins,21.8,5.1,3.7,0.8,1.0,2.4,0.447,0.332,24.0,SF,54.0,7.0,-0.3,0.8,0.05,"34,105,741"
22,John Collins,21.6,10.1,1.5,0.8,1.6,1.8,0.583,0.401,22.0,PF,41.0,4.0,3.1,1.7,0.174,"3,331,334"
23,Paul George,21.5,5.7,3.9,1.4,0.4,2.6,0.439,0.412,29.0,SF,48.0,11.0,4.9,2.5,0.161,"40,926,889"
24,De'Aaron Fox,21.1,3.8,6.8,1.5,0.5,3.1,0.48,0.292,22.0,PG,49.0,4.0,1.8,1.6,0.118,"7,927,022"
25,Khris Middleton,20.9,6.2,4.3,0.9,0.1,2.2,0.497,0.415,28.0,SF,59.0,9.0,4.1,2.9,0.205,"37,948,275"
26,Stephen Curry,20.8,5.2,6.6,1.0,0.4,3.2,0.402,0.245,31.0,PG,5.0,12.0,3.9,0.2,0.103,"49,887,379"
27,Collin Sexton,20.8,3.1,3.0,1.0,0.1,2.4,0.472,0.38,21.0,PG,65.0,3.0,-1.8,0.1,0.057,"5,908,550"
28,Kemba Walker,20.4,3.9,4.8,0.9,0.5,2.1,0.425,0.381,29.0,PG,56.0,10.0,4.6,2.9,0.162,"40,600,080"
29,Jaylen Brown,20.3,6.4,2.1,1.1,0.4,2.2,0.481,0.382,23.0,SG,57.0,5.0,0.8,1.4,0.123,"8,103,187"
