,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
0,Joel Embiid,30.6,11.7,4.2,1.1,1.5,3.1,0.499,0.371,27.0,C,68.0,7.0,9.2,6.5,0.252,"34,737,329"
1,LeBron James,30.3,8.2,6.2,1.3,1.1,3.5,0.524,0.359,37.0,C,56.0,20.0,7.7,5.1,0.172,"45,298,598"
2,Giannis Antetokounmpo,29.9,11.6,5.8,1.1,1.4,3.3,0.553,0.293,27.0,PF,67.0,10.0,11.2,7.4,0.281,"43,279,390"
3,Kevin Durant,29.9,7.4,6.4,0.9,0.9,3.5,0.518,0.383,33.0,PF,55.0,16.0,7.2,4.8,0.198,"46,220,790"
4,Luka Dončić,28.4,9.1,8.7,1.2,0.6,4.5,0.457,0.353,22.0,PG,65.0,5.0,8.2,5.9,0.159,"11,191,830"
5,Trae Young,28.4,3.7,9.7,0.9,0.1,4.0,0.46,0.382,23.0,PG,76.0,5.0,5.2,4.8,0.181,"9,159,118"
6,DeMar DeRozan,27.9,5.2,4.9,0.9,0.3,2.4,0.504,0.352,32.0,PF,76.0,14.0,2.5,3.1,0.154,"28,600,000"
7,Kyrie Irving,27.4,4.4,5.8,1.4,0.6,2.5,0.469,0.418,29.0,PG,29.0,12.0,3.0,1.4,0.147,"38,861,570"
8,Ja Morant,27.4,5.7,6.7,1.2,0.4,3.4,0.493,0.344,22.0,PG,57.0,4.0,6.1,3.9,0.171,"10,563,696"
9,Nikola Jokić,27.1,13.8,7.9,1.5,0.9,3.8,0.583,0.337,26.0,C,74.0,8.0,13.7,9.8,0.296,"34,149,396"
10,Jayson Tatum,26.9,8.0,4.4,1.0,0.6,2.9,0.453,0.353,23.0,SF,76.0,6.0,5.0,4.8,0.169,"30,913,850"
11,Devin Booker,26.8,5.0,4.8,1.1,0.4,2.4,0.466,0.383,25.0,SG,68.0,8.0,4.1,3.6,0.156,"34,815,660"
12,Donovan Mitchell,25.9,4.2,5.3,1.5,0.2,3.0,0.448,0.355,25.0,SG,67.0,6.0,4.3,3.6,0.152,"30,913,850"
13,Stephen Curry,25.5,5.2,6.3,1.3,0.4,3.2,0.437,0.38,33.0,PG,64.0,14.0,5.8,4.4,0.173,"50,359,062"
14,Shai Gilgeous-Alexander,24.5,5.0,5.9,1.3,0.8,2.8,0.453,0.3,23.0,PG,56.0,5.0,3.4,2.7,0.113,"6,045,085"
15,Zach LaVine,24.4,4.6,4.5,0.6,0.3,2.6,0.476,0.389,26.0,SG,67.0,9.0,2.4,2.6,0.12,"21,450,000"
16,Paul George,24.3,6.9,5.7,2.2,0.4,4.1,0.421,0.354,31.0,PF,31.0,13.0,3.7,1.6,0.057,"43,279,467"
17,Damian Lillard,24.0,4.1,7.3,0.6,0.4,2.9,0.402,0.324,31.0,PG,29.0,11.0,1.3,0.9,0.079,"43,279,390"
18,Jaylen Brown,23.6,6.1,3.5,1.1,0.3,2.7,0.473,0.358,25.0,SF,66.0,7.0,2.1,2.2,0.124,"29,434,820"
19,Bradley Beal,23.2,4.7,6.6,0.9,0.4,3.4,0.451,0.3,28.0,SG,40.0,11.0,0.8,1.0,0.046,"37,096,620"
20,Anthony Davis,23.2,9.9,3.1,1.2,2.3,2.1,0.532,0.186,28.0,C,40.0,11.0,3.8,2.0,0.155,"38,897,496"
21,De'Aaron Fox,23.2,3.9,5.6,1.2,0.4,2.8,0.473,0.297,24.0,PG,59.0,6.0,-0.6,0.7,0.058,"30,913,850"
22,Pascal Siakam,22.8,8.5,5.3,1.3,0.6,2.7,0.494,0.344,27.0,PF,68.0,7.0,3.5,3.6,0.151,"36,304,329"
23,Brandon Ingram,22.7,5.8,5.6,0.6,0.5,2.7,0.461,0.327,24.0,SF,55.0,7.0,2.0,1.9,0.099,"32,414,580"
24,CJ McCollum,22.1,4.3,5.1,1.1,0.4,2.0,0.46,0.388,30.0,PG,62.0,10.0,1.9,2.1,0.081,"33,950,617"
25,James Harden,22.0,7.7,10.3,1.3,0.6,4.4,0.41,0.33,32.0,PG,65.0,14.0,4.0,3.7,0.152,"48,741,924"
26,Darius Garland,21.7,3.3,8.6,1.3,0.1,3.6,0.462,0.383,22.0,PG,68.0,4.0,2.6,2.8,0.125,"7,744,968"
27,Jimmy Butler,21.4,5.9,5.5,1.6,0.5,2.1,0.48,0.233,32.0,SF,57.0,12.0,6.3,4.0,0.228,"39,617,820"
