,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
0,Stephen Curry,32.0,5.5,5.8,1.2,0.1,3.4,0.482,0.421,32.0,PG,63.0,13.0,8.7,5.8,0.201,"51,177,570"
1,Bradley Beal,31.3,4.7,4.4,1.2,0.4,3.1,0.485,0.349,27.0,SG,60.0,10.0,3.4,2.9,0.132,"34,214,611"
2,Damian Lillard,28.8,4.2,7.5,0.9,0.3,3.0,0.451,0.391,30.0,PG,67.0,10.0,6.3,5.0,0.209,"37,636,074"
3,Joel Embiid,28.5,10.6,2.8,1.0,1.4,3.1,0.513,0.377,26.0,C,51.0,6.0,7.5,3.8,0.266,"35,154,991"
4,Giannis Antetokounmpo,28.1,11.0,5.9,1.2,1.2,3.4,0.569,0.303,26.0,PF,61.0,9.0,9.0,5.6,0.244,"32,758,424"
5,Luka Dončić,27.7,8.0,8.6,1.0,0.5,4.3,0.479,0.35,21.0,PG,66.0,4.0,6.8,5.1,0.163,"9,578,738"
6,Zach LaVine,27.4,5.0,4.9,0.8,0.5,3.5,0.507,0.419,25.0,SG,58.0,8.0,4.0,3.1,0.138,"23,205,000"
7,Zion Williamson,27.0,7.2,3.7,0.9,0.6,2.7,0.611,0.294,20.0,PF,61.0,3.0,5.8,4.0,0.205,"12,192,121"
8,Kevin Durant,26.9,7.1,5.6,0.7,1.3,3.4,0.537,0.45,32.0,PF,32.0,15.0,7.2,2.7,0.206,"47,729,650"
9,Kyrie Irving,26.9,4.8,6.0,1.4,0.7,2.4,0.506,0.402,28.0,PG,54.0,11.0,5.5,3.6,0.189,"40,130,191"
10,Nikola Jokić,26.4,10.8,8.3,1.3,0.7,3.1,0.566,0.388,25.0,C,72.0,7.0,12.1,8.8,0.301,"35,154,991"
11,Donovan Mitchell,26.4,4.4,5.2,1.0,0.3,2.8,0.438,0.386,24.0,PG,53.0,5.0,4.3,2.8,0.167,"6,182,646"
12,Jayson Tatum,26.4,7.4,4.3,1.2,0.5,2.7,0.459,0.386,22.0,SF,64.0,5.0,3.9,3.4,0.137,"11,777,572"
13,Devin Booker,25.6,4.2,4.3,0.8,0.2,3.1,0.484,0.34,24.0,SG,67.0,7.0,0.3,1.3,0.104,"35,066,682"
14,Trae Young,25.3,3.9,9.4,0.8,0.2,4.1,0.438,0.343,22.0,PG,63.0,4.0,3.7,3.0,0.163,"7,820,442"
15,De'Aaron Fox,25.2,3.5,7.2,1.5,0.5,3.0,0.477,0.322,23.0,PG,58.0,5.0,1.8,2.0,0.098,"9,638,556"
16,LeBron James,25.0,7.7,7.8,1.1,0.6,3.7,0.513,0.365,36.0,PG,45.0,19.0,8.1,3.8,0.179,"46,671,283"
17,Kawhi Leonard,24.8,6.5,5.2,1.6,0.4,2.0,0.512,0.398,29.0,SF,52.0,11.0,7.3,4.2,0.238,"40,911,129"
18,Jaylen Brown,24.7,6.0,3.4,1.2,0.6,2.7,0.484,0.397,24.0,SG,58.0,6.0,2.5,2.3,0.115,"29,791,790"
19,James Harden,24.6,7.9,10.8,1.2,0.8,4.0,0.466,0.362,31.0,PG,43.0,13.0,7.2,3.7,0.208,"49,093,354"
20,Collin Sexton,24.3,3.1,4.4,1.0,0.2,2.8,0.475,0.371,22.0,SG,60.0,4.0,-0.2,1.0,0.08,"5,940,337"
21,Julius Randle,24.1,10.2,6.0,0.9,0.3,3.4,0.456,0.411,26.0,PF,71.0,8.0,3.8,3.9,0.14,"23,615,550"
22,Brandon Ingram,23.8,4.9,4.9,0.7,0.6,2.5,0.466,0.381,23.0,SF,61.0,6.0,2.2,2.2,0.12,"32,469,150"
23,Shai Gilgeous-Alexander,23.7,4.7,5.9,0.8,0.7,3.0,0.508,0.418,22.0,SG,35.0,4.0,4.1,1.8,0.143,"4,928,170"
24,Nikola Vučević,23.4,11.7,3.8,0.9,0.7,1.8,0.477,0.4,30.0,C,70.0,11.0,5.3,4.4,0.129,"30,940,000"
25,Paul George,23.3,6.6,5.2,1.1,0.4,3.3,0.467,0.411,30.0,SF,54.0,12.0,4.2,2.9,0.139,"42,185,990"
26,CJ McCollum,23.1,3.9,4.7,0.9,0.4,1.4,0.458,0.402,29.0,SG,47.0,9.0,3.9,2.4,0.141,"34,931,440"
27,Jerami Grant,22.3,4.6,2.8,0.6,1.1,2.0,0.429,0.35,26.0,SF,54.0,8.0,1.1,1.4,0.083,"22,669,500"
28,Anthony Davis,21.8,7.9,3.1,1.3,1.6,2.1,0.491,0.26,27.0,PF,36.0,10.0,4.8,2.0,0.152,"38,962,980"
29,DeMar DeRozan,21.6,4.2,6.9,0.9,0.2,2.0,0.495,0.257,31.0,PF,61.0,13.0,3.1,2.6,0.172,"33,010,570"
30,Jimmy Butler,21.5,6.9,7.1,2.1,0.3,2.1,0.497,0.245,31.0,SF,52.0,11.0,7.7,4.3,0.255,"40,911,129"
