,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
0,James Harden,30.4,5.4,8.8,1.8,0.7,4.4,0.449,0.367,28.0,SG,72.0,10.0,9.9,7.7,0.289,"36,223,230"
1,Anthony Davis,28.1,11.1,2.3,1.5,2.6,2.2,0.534,0.34,24.0,PF,75.0,7.0,6.7,5.9,0.241,"30,432,647"
2,LeBron James,27.5,8.6,9.1,1.4,0.9,4.2,0.542,0.367,33.0,PF,82.0,16.0,8.7,8.2,0.221,"42,605,707"
3,Giannis Antetokounmpo,26.9,10.0,4.8,1.5,1.4,3.0,0.529,0.307,23.0,PF,75.0,6.0,6.2,5.7,0.207,"28,764,046"
4,Damian Lillard,26.9,4.5,6.6,1.1,0.4,2.8,0.439,0.361,27.0,PG,73.0,7.0,7.2,6.3,0.227,"33,475,912"
5,Stephen Curry,26.4,5.1,6.1,1.6,0.2,3.0,0.495,0.423,29.0,PG,51.0,10.0,7.7,4.0,0.267,"44,393,664"
6,Kevin Durant,26.4,6.8,5.4,0.7,1.8,3.0,0.516,0.419,29.0,SF,68.0,12.0,7.3,5.5,0.215,"32,000,000"
7,DeMarcus Cousins,25.2,12.9,5.4,1.6,1.6,5.0,0.47,0.354,27.0,C,48.0,9.0,4.7,2.9,0.13,"23,121,728"
8,Devin Booker,24.9,4.5,4.7,0.9,0.3,3.6,0.432,0.383,21.0,SG,54.0,4.0,0.9,1.4,0.063,"2,968,780"
9,Kyrie Irving,24.4,3.8,5.1,1.1,0.3,2.3,0.491,0.408,25.0,PG,60.0,8.0,7.3,4.5,0.222,"24,151,841"
10,Victor Oladipo,23.1,5.2,4.3,2.4,0.8,2.9,0.477,0.371,25.0,SG,75.0,6.0,5.8,5.0,0.155,"26,880,000"
11,DeMar DeRozan,23.0,3.9,5.2,1.1,0.3,2.2,0.456,0.31,28.0,SG,80.0,10.0,2.8,3.2,0.17,"35,507,168"
12,Joel Embiid,22.9,11.0,3.2,0.6,1.8,3.7,0.483,0.308,23.0,C,63.0,3.0,3.3,2.6,0.155,"7,808,340"
13,Bradley Beal,22.6,4.4,4.5,1.2,0.4,2.6,0.46,0.375,24.0,SG,82.0,7.0,2.2,3.1,0.111,"30,432,647"
14,Lou Williams,22.6,2.5,5.3,1.1,0.2,3.0,0.435,0.359,31.0,SG,19.0,14.0,2.3,2.8,0.125,"8,960,000"
15,Jimmy Butler,22.2,5.3,4.9,2.0,0.4,1.8,0.474,0.35,28.0,SG,59.0,8.0,5.8,4.2,0.198,"23,932,055"
16,Kemba Walker,22.1,3.1,5.6,1.1,0.3,2.2,0.431,0.384,27.0,PG,80.0,8.0,4.0,4.2,0.15,"15,360,000"
17,Paul George,21.9,5.7,3.3,2.0,0.5,2.7,0.43,0.401,27.0,SF,79.0,9.0,2.9,3.6,0.147,"24,704,000"
18,Blake Griffin,21.4,7.4,5.8,0.7,0.3,2.8,0.438,0.345,28.0,PF,58.0,9.0,3.4,2.7,0.12,"37,776,512"
19,CJ McCollum,21.4,4.0,3.4,1.0,0.4,1.9,0.443,0.397,26.0,SG,81.0,6.0,1.2,2.4,0.108,"30,672,093"
20,Donovan Mitchell,20.5,3.7,3.7,1.5,0.3,2.7,0.437,0.34,21.0,SG,71.0,2.0,1.2,2.2,0.095,"3,355,238"
21,MarShon Brooks,20.1,3.0,3.6,1.6,0.4,2.3,0.5,0.594,29.0,SG,1.0,8.0,7.1,0.4,0.179,"110,231"
22,Khris Middleton,20.1,5.2,4.0,1.5,0.3,2.3,0.466,0.359,26.0,SF,82.0,7.0,0.0,1.5,0.111,"18,048,000"
23,Klay Thompson,20.0,3.8,2.5,0.8,0.5,1.8,0.488,0.44,27.0,SG,73.0,8.0,-0.4,1.0,0.094,"22,817,472"
24,T.J. Warren,19.6,5.1,1.3,1.0,0.6,1.3,0.498,0.222,24.0,SF,65.0,5.0,-0.7,0.7,0.077,"4,035,750"
25,Tyreke Evans,19.4,5.1,5.2,1.1,0.3,2.3,0.452,0.399,28.0,PG,32.0,10.0,4.5,2.6,0.126,"4,211,200"
26,Dennis Schröder,19.4,3.1,6.2,1.1,0.1,2.7,0.436,0.29,24.0,PG,67.0,6.0,-0.6,0.7,0.059,"19,840,000"
27,John Wall,19.4,3.7,9.6,1.4,1.1,3.9,0.42,0.371,27.0,PG,41.0,9.0,3.0,1.8,0.092,"23,121,728"
28,Jrue Holiday,19.0,4.5,6.0,1.5,0.8,2.6,0.494,0.337,27.0,SG,81.0,10.0,1.6,2.7,0.116,"32,878,933"
29,Harrison Barnes,18.9,6.1,2.0,0.6,0.2,1.5,0.445,0.357,25.0,PF,77.0,7.0,-0.5,1.0,0.07,"29,583,365"
30,Tobias Harris,18.6,5.5,2.4,0.9,0.4,1.3,0.46,0.411,25.0,PF,80.0,8.0,1.9,2.6,0.12,"20,480,000"
