,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
3238,Elfrid Payton,10.1,3.4,3.2,0.7,0.1,1.6,0.432,0.286,26.0,PG,63.0,8.0,-3.0,-0.4,0.032,"5,672,730"
3239,Bryn Forbes,10.0,1.6,0.6,0.3,0.0,0.6,0.473,0.452,27.0,SG,10.0,6.0,-1.3,0.2,0.096,"2,781,202"
3240,Gary Harris,9.9,2.0,2.0,0.7,0.3,0.9,0.4,0.34,26.0,SG,38.0,8.0,-4.2,-0.6,0.033,"23,336,749"
3241,Dorian Finney-Smith,9.8,5.4,1.7,0.9,0.4,0.8,0.472,0.394,27.0,PF,60.0,6.0,0.1,1.0,0.11,"4,760,000"
3242,Frank Jackson,9.8,2.2,0.9,0.4,0.0,0.9,0.457,0.407,22.0,PG,6.0,4.0,-1.7,0.1,0.076,"534,446"
3243,Frank Jackson,9.8,2.2,0.9,0.4,0.0,0.9,0.457,0.407,22.0,PG,6.0,4.0,-1.7,0.1,0.076,"297,500"
3244,Otto Porter Jr.,9.7,5.4,2.0,0.6,0.1,0.9,0.432,0.375,27.0,SF,6.0,9.0,0.0,0.3,0.101,"33,902,194"
3245,Mike Muscala,9.7,3.8,0.8,0.2,0.3,0.6,0.446,0.37,29.0,C,0.0,9.0,-0.1,0.3,0.096,"2,716,810"
3246,Daniel Theis,9.6,5.5,1.7,0.6,0.9,1.0,0.541,0.322,28.0,C,51.0,5.0,0.0,0.8,0.128,"5,950,000"
3247,Wayne Ellington,9.6,1.8,1.5,0.4,0.2,0.7,0.441,0.422,33.0,SG,31.0,13.0,-0.2,0.5,0.088,"3,052,056"
3248,Wayne Ellington,9.6,1.8,1.5,0.4,0.2,0.7,0.441,0.422,33.0,SG,31.0,13.0,-0.2,0.5,0.088,"1,190,000"
3249,Cameron Johnson,9.6,3.3,1.4,0.6,0.3,0.7,0.42,0.349,24.0,PF,11.0,3.0,-0.2,0.7,0.086,"5,039,840"
3250,Isaac Okoro,9.6,3.1,1.9,0.9,0.4,1.3,0.42,0.29,20.0,SG,67.0,2.0,-5.1,-1.7,0.02,"7,617,094"
3251,Taurean Prince,9.5,3.5,1.9,0.7,0.6,1.1,0.401,0.4,26.0,PF,10.0,6.0,-1.8,0.0,0.052,"14,577,500"
3252,Danny Green,9.5,3.8,1.7,1.3,0.8,1.0,0.412,0.405,33.0,SF,69.0,13.0,1.9,1.9,0.115,"18,285,365"
