,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
0,Joel Embiid,33.1,10.2,4.2,1.0,1.7,3.4,0.548,0.33,28.0,C,66.0,9.0,9.2,6.4,0.259,"35,633,776"
1,Luka Dončić,32.4,8.6,8.0,1.4,0.5,3.6,0.496,0.342,23.0,PG,66.0,7.0,8.9,6.6,0.204,"39,322,290"
2,Damian Lillard,32.2,4.8,7.3,0.9,0.3,3.3,0.463,0.371,32.0,PG,58.0,13.0,7.1,4.9,0.205,"45,042,041"
3,Shai Gilgeous-Alexander,31.4,4.8,5.5,1.6,1.0,2.8,0.51,0.345,24.0,PG,68.0,7.0,7.3,5.6,0.226,"32,768,575"
4,Giannis Antetokounmpo,31.1,11.8,5.7,0.8,0.8,3.9,0.553,0.275,28.0,PF,63.0,12.0,8.5,5.4,0.204,"45,042,041"
5,Jayson Tatum,30.1,8.8,4.6,1.1,0.7,2.9,0.466,0.35,24.0,SF,74.0,8.0,5.5,5.1,0.185,"32,172,886"
6,Stephen Curry,29.4,6.1,6.3,0.9,0.4,3.2,0.493,0.427,34.0,PG,56.0,16.0,7.5,4.7,0.192,"50,954,214"
7,Kevin Durant,29.1,6.7,5.0,0.7,1.4,3.3,0.56,0.404,34.0,PF,47.0,18.0,7.1,3.9,0.194,"46,767,035"
8,LeBron James,28.9,8.3,6.8,0.9,0.6,3.2,0.5,0.321,38.0,PF,54.0,22.0,6.1,4.0,0.138,"47,143,487"
9,Donovan Mitchell,28.3,4.3,4.4,1.5,0.4,2.6,0.484,0.386,26.0,SG,68.0,8.0,6.3,5.0,0.176,"32,768,575"
10,Devin Booker,27.8,4.5,5.5,1.0,0.3,2.7,0.494,0.351,26.0,SG,53.0,10.0,4.2,2.9,0.157,"35,863,404"
11,Kyrie Irving,27.1,5.1,5.5,1.1,0.8,2.1,0.494,0.379,30.0,SG,60.0,14.0,4.1,3.5,0.159,"41,252,080"
12,Jaylen Brown,26.6,6.9,3.5,1.1,0.4,2.9,0.491,0.335,26.0,SF,67.0,9.0,1.3,2.0,0.1,"31,563,392"
13,Ja Morant,26.2,5.9,8.1,1.1,0.3,3.4,0.466,0.307,23.0,PG,59.0,6.0,5.7,3.8,0.148,"12,846,606"
14,Trae Young,26.2,3.0,10.2,1.1,0.1,4.1,0.429,0.335,24.0,PG,73.0,7.0,3.3,3.4,0.126,"39,322,290"
15,Zion Williamson,26.0,7.0,4.6,1.1,0.6,3.4,0.608,0.368,22.0,PF,29.0,6.0,5.8,1.9,0.18,"14,346,906"
16,Anthony Davis,25.9,12.5,2.6,1.1,2.0,2.2,0.563,0.257,29.0,C,54.0,13.0,6.3,4.0,0.226,"40,259,563"
17,Lauri Markkanen,25.6,8.6,1.9,0.6,0.6,1.9,0.499,0.391,25.0,PF,66.0,8.0,3.8,3.3,0.173,"17,463,981"
18,Julius Randle,25.1,10.0,4.1,0.6,0.3,2.8,0.459,0.343,28.0,PF,77.0,11.0,3.7,3.9,0.142,"25,185,600"
19,De'Aaron Fox,25.0,4.2,6.1,1.1,0.3,2.5,0.512,0.324,25.0,PG,73.0,8.0,2.5,2.7,0.146,"32,172,886"
20,Zach LaVine,24.8,4.5,4.2,0.9,0.2,2.5,0.485,0.375,27.0,SG,77.0,11.0,1.9,2.7,0.123,"39,322,290"
